"Erhöhung Studierendenbeitrag";"Der Studierendenbeitrag sollte erhöht werden, um die verfasste Studierendenschaft mehr als bisher finanzieren zu können."
"Beibehaltung Studierendenbeitrag";"Der Studierendenbeitrag sollte nicht angehoben werden."
"Unterstützung politische Projekte";"Das Stupa sollte sich gesellschaftspolitisch positionieren und auch Gelder für sich politisch positionierende Projekte ausgeben."
"Genderpflicht";"In wissenschaftlichen Arbeiten sollte eine Pflicht zum Gendern bestehen."
"Kostenlose Menstruationsprodukte";"Solange nicht von der Uni gestellt, sollte die verfasste Studierendenschaft kostenlose Menstruationsprodukte an beiden Campus bezahlen und stellen."
"Verpflichtendes Awarenesskonzept";"Das Stupa soll ein verpflichtendes Awarenesskonzept für von der verfassten Studierendenschaft geförderte Veranstaltungen verabschieden."
"Sanktionen von Parlamentarier:innen";"Parlamentarier:innen sollten bei häufigem Fehlen auch dann sanktioniert werden können, wenn sie sich von Sitzungen des Stupas und seiner Ausschüsse abmelden."
"Abschaffung Begrenzung Prüfungsversuche";"Das Stupa soll sich dafür einsetzen, dass die Begrenzung der Anzahl an möglichen Prüfungsversuchen abgeschafft wird."
"Semesterticket = Deutschlandticket";"Das Semesterticket soll weiterhin das Deutschlandticket bleiben."
"Aufenthaltsplätze im Grünen";"An beiden Campus sollten mehr Aufenthaltsplätze im Grünen geschaffen werden."
"Längere Öffnungszeiten";"Das Stupa sollte sich dafür einsetzen, die Öffnungszeiten der Cafeten, Mensa und Bibliotheken zu verlängern."
"Militärische Forschung";"Das Stupa sollte sich angesichts der geopolitischen Lage dafür einsetzen, dass die Forschung der UDE auch zu militärischen Zwecken genutzt werden darf."
"Paritätische Reihenfolge";"Stupa-Listen sollen dazu verpflichtet sein, ihre Listenplatzierungen paritätisch zu organisieren."
"Zeitliche Begrenzung";"Sitzungen des Stupas sollten zeitlich begrenzt sein."
"Mehr Öffentlichkeitsarbeit";"Das Stupa sollte mehr Öffentlichkeitsarbeit machen, um die Studierendenschaft über die sozialen Angebote von AStA und den autonomen Referaten zu informieren."
"Mehr autonome Referate";"Es sollte an der UDE mehr autonome Referate geben als bisher."
"Rahmenbedingungen der autonomen Referate";"Die Rahmenbedingungen der autonomen Referate sollten nicht allein vom Stupa festgelegt werden können."
"Mehr Budgets für Fachschaften";"Ein größerer Teil des Budgets, über das Stupa und AStA verfügen, sollte für die Fachschaften ausgegeben werden."
